WARNING 2019-05-26 21:03:52,912 basehttp 154 "GET /images/dianshang.png HTTP/1.1" 404 2054
WARNING 2019-05-26 21:03:52,895 log 228 Not Found: /images/python_gui.jpg
WARNING 2019-05-26 21:03:52,896 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
WARNING 2019-05-26 21:03:52,896 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 21:03:52,910 log 228 Not Found: /images/linux.jpg
WARNING 2019-05-26 21:03:52,884 log 228 Not Found: /images/zimeiti.png
WARNING 2019-05-26 21:03:52,956 log 228 Not Found: /images/python_advanced.jpg
WARNING 2019-05-26 21:03:52,957 basehttp 154 "GET /images/linux.jpg HTTP/1.1" 404 2042
WARNING 2019-05-26 21:03:52,962 log 228 Not Found: /images/jichujiaochen.jpeg
WARNING 2019-05-26 21:03:52,979 log 228 Not Found: /images/english.jpg
WARNING 2019-05-26 21:03:52,970 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:03:52,983 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
WARNING 2019-05-26 21:03:52,965 basehttp 154 "GET /images/zimeiti.png HTTP/1.1" 404 2048
WARNING 2019-05-26 21:03:52,980 basehttp 154 "GET /images/jichujiaochen.jpeg HTTP/1.1" 404 2069
WARNING 2019-05-26 21:03:52,980 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2048
WARNING 2019-05-26 21:03:52,970 basehttp 154 "GET /images/python_gui.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:03:52,990 basehttp 154 "GET /images/python_advanced.jpg HTTP/1.1" 404 2072
WARNING 2019-05-26 21:03:53,000 log 228 Not Found: /images/python_web.jpg
WARNING 2019-05-26 21:03:53,001 basehttp 154 "GET /images/python_web.jpg HTTP/1.1" 404 2057
INFO 2019-05-26 21:03:54,218 basehttp 154 "GET / HTTP/1.1" 200 16876
WARNING 2019-05-26 21:03:54,250 log 228 Not Found: /images/youxi.png
WARNING 2019-05-26 21:03:54,261 log 228 Not Found: /images/ui.png
WARNING 2019-05-26 21:03:54,273 basehttp 154 "GET /images/youxi.png HTTP/1.1" 404 2042
WARNING 2019-05-26 21:03:54,265 log 228 Not Found: /css/base/side.css
WARNING 2019-05-26 21:03:54,270 log 228 Not Found: /css/base/common.css
WARNING 2019-05-26 21:03:54,274 basehttp 154 "GET /images/ui.png HTTP/1.1" 404 2033
WARNING 2019-05-26 21:03:54,266 log 228 Not Found: /css/base/reset.css
WARNING 2019-05-26 21:03:54,280 basehttp 154 "GET /css/base/reset.css HTTP/1.1" 404 2048
WARNING 2019-05-26 21:03:54,275 basehttp 154 "GET /css/base/side.css HTTP/1.1" 404 2045
